Paper_Title,Authors_Year,Main_Objective,Key_Methods,Dataset_Domain,Key_Results,Relation_to_Gating_Uncertainty,Relation_to_Agentic_AI,Relation_to_DS_Theory,Strengths_for_Project,Limitations_Gaps,Potential_Quotes,Relevance_Score (out if 5),Notes_Citations
Evidential Deep Learning to Quantify Classification Uncertainty,"Sensoy et al., 2018",Replace softmax with Dirichlet distribution parameters to model epistemic uncertainty in single-forward pass.,Dirichlet Prior on softmax; KL divergence regularization (Annealing Coefficient).,"MNIST, CIFAR-10 (Image Classification).",State-of-the-art OOD detection; improved calibration over standard Bayesian NNs.,"Your `EDLLoss` class and `kl_divergence` function are direct implementations of this paper's Eq. 3, 4, and 5.","Provides the foundational logic for the individual 'Agents' (RGB, Edge, Freq) to be self-aware of uncertainty.","Foundational: Defines 'Evidence' as e = alpha - 1, which you sum in your fusion step.",Validates the mathematical backbone of your loss function (`loss_mse + annealing_coef * kl`).,Does not address multi-view fusion or gating; strictly single-model focus.,"""The evidential loss prioritizes data fit over variance estimation... preventing over-confidence.""",5,Foundational Paper. Source of your Loss Function.
Attention Based Feature Fusion For Multi-Agent Collaborative Perception,"Ahmed et al., 2023",Improve object detection in V2X systems using attention-based intermediate fusion.,Graph Attention Network (GAT); Channel & Spatial Attention modules for feature aggregation.,V2XSim 2.0 (Autonomous Driving).,Improved Average Precision (AP) while reducing communication bandwidth usage.,"Directly relevant to your `GatedFusion` class; they use attention weights (alpha) to fuse features, you use gating weights to fuse evidence.","Demonstrates 'Collaborative Perception' where agents (vehicles) share features, analogous to your agents (modalities) sharing evidence.","Implicitly related via weighted aggregation, though not strictly using Belief/Mass functions.",Justifies the use of dynamic weighting (`self.gate_net`) instead of simple averaging (`NAIVE_FUSION`).,Focuses on spatial/channel attention rather than uncertainty-driven evidence scaling.,"""Attention mechanism adaptively highlights important regions... resulting in improved precision.""",4,Supports your GatedFusion logic.
A Comprehensive Survey on Evidential Deep Learning and Its Applications,"Gao et al., 2024",Review theoretical foundations and applications of EDL.,"Taxonomy of EDL: Evidence Collection, OOD detection, Training strategies.","General (CV, NLP, Open-world).",Summarizes performance of EDL across domains; highlights benefits for reliability.,Provides the theoretical justification for why your `alpha = evidence + 1` approach works for uncertainty quantification.,Contextualizes your model within 'Internal Methods' of uncertainty quantification (Single Deterministic).,Explains the Subjective Logic foundations (Bijective mapping between Dirichlet and Belief).,Validates your choice of EDL for safety-critical tasks (Breast Histopathology).,Survey paper; does not provide specific architecture for the fusion you implemented.,"""EDL obtains reliable uncertainty with minimal additional computation in a single forward pass.""",4,Good for Introduction/Related Work.
Multimodal Alignment and Fusion: A Survey,"Li et al., 2025","Categorize multimodal fusion methods (Data-level, Feature-level, Output-level).","Contrastive learning, Attention-based fusion, Generative methods.","General Multimodal (Audio-Visual, VQA).",Identifies 'Modality Gap' and 'Misalignment' as key challenges.,Classifies your approach as 'Output-level Fusion' (decision level) with attention-based gating.,"Discusses 'Agentic AI' in the context of LLMs, contrasting your CNN-based expert agents.",Discusses fusion generally; mentions conflict resolution which DST addresses.,Helps categorize your `DST_AgenticNet` architecture within the broader literature.,"Focuses heavily on Transformers/LLMs, whereas your solution is CNN/Spectral based.","""Fusion merges aligned features into unified predictions... mitigating weaknesses of individual modalities.""",3,Defines your fusion taxonomy.
Uncertainty-Encoded Multi-Modal Fusion for Robust Object Detection in Autonomous Driving,"Lou et al., 2023",Fuse LiDAR and Camera data using predictive uncertainty to weight inputs.,Uncertainty-Encoded Mixture-of-Experts (UMoE); Gating network based on uncertainty scores.,"KITTI, STF (Autonomous Driving).",5.40% gain in blinding attack scenarios; robust to sensor degradation.,**Very High**. Their UMoE module is structurally almost identical to your `GatedFusion` and `DST_AgenticNet` design.,Uses 'Expert Networks' concept exactly as you do (modality-specific encoders).,"Uses uncertainty to drive the gating weights, aligning perfectly with your dynamic weighting logic.","Strong evidence that your architecture is robust against 'sensor failure' (e.g., if RGB is blurry but Edges are clear).",Uses MC-Dropout for uncertainty (slow) vs. your EDL approach (fast/single-pass).,"""Gating network takes combined features... and generates uncertainty-encoded confidence scores.""",5,Key architectural reference.
UNO: Uncertainty-aware Noisy-Or Multimodal Fusion for Unanticipated Input Degradation,"Tian et al., 2020",Fuse RGB-D data robustly against unseen degradation.,Probabilistic 'Noisy-Or' fusion; Spatial Temperature Scaling for uncertainty.,NYU Depth v2 (Semantic Segmentation).,Outperforms state-of-the-art in fog/snow/noise conditions.,Proposes a probabilistic alternative (`Noisy-Or`) to your weighted sum fusion.,"Views each modality as an independent 'expert', similar to your RGB/Edge/Freq agents.",Bayesian Network approach to fusion; conceptually close to your belief combination.,Provides a counter-argument or comparison point for your weighted-sum fusion strategy.,Focuses on calibration via temperature scaling rather than evidential loss.,"""A robust fusion scheme should dynamically adapt to sensor failure... emphasizing modalities that are less corrupted.""",4,justifies dynamic fusion.
An evidential classifier based on Dempster-Shafer theory and deep learning,"Tong et al., 2021",Hybridize CNNs with DST for set-valued classification (handling ambiguity).,Distance-based DS layer; Utility layer for decision making; Dempster's combination rule.,"CIFAR-10, UrbanSound8K.",Higher accuracy in set-valued classification; effective novelty detection.,"Directly relevant: they use a 'DS Layer' to merge evidence, similar to your `weighted_evidence` summation.",Treats CNN feature extractors as sources of evidence (agents).,Core paper for DST integration in Deep Learning.,Validates the mathematical soundness of summing evidence (Dempster's Rule of Combination approximation).,Uses prototype-based evidence generation (distance) vs. your projection-based generation (Linear layer).,"""CNNs can be enhanced with set-valued classification... thanks to the addition of a DS layer.""",5,Theoretical basis for your fusion layer.
Deep Evidential Regression,"Amini et al., 2020",Apply EDL to regression tasks (continuous targets).,Evidential priors over Gaussian likelihood; NIG (Normal Inverse-Gamma) distribution.,"Depth Estimation, Toy Regression.",Scalable learning of epistemic/aleatoric uncertainty without sampling.,Extends the EDL logic you use (Sensoy 2018) to regression; relevant if you predict tumor *size* or *severity* score.,N/A,Same theoretical root (Subjective Logic) as your classification loss.,"Shows EDL scales to complex vision tasks (Depth Estimation), supporting your use on Histopathology.",Focuses on regression; your code is strictly classification (Dirichlet).,"""We demonstrate learning well-calibrated measures of uncertainty... scaling to complex computer vision tasks.""",3,Good context for EDL robustness.
CNN-DST: ensemble deep learning based on Dempster-Shafer theory for vibration-based fault recognition,"Yaghoubi et al., 2021",Improve fault detection using an ensemble of CNNs fused via DST.,Ensemble CNNs; Improved DST combination rule (considering conflict).,Turbine Blade Vibration Data.,97.19% accuracy; robust to measurement noise.,"Uses DST to combine ensemble outputs, exactly matching your `fused_evidence` logic.",Uses a 'pool of classifiers' (agents) strategy for robustness.,Explicit application of Dempster's Rule for fusion.,Demonstrates that DST fusion works well for high-stakes/industrial fault detection (analogous to medical).,Uses handcrafted feature selection (LASSO) unlike your end-to-end learning.,"""To employ an ensemble... two main questions: how to impose diversity... and how to combine outputs.""",5,Validates Ensemble + DST approach.
Mutual Evidential Deep Learning for Medical Image Segmentation,"He et al., 2025",Semi-supervised medical segmentation using mutual learning between networks.,Mutual Evidential Deep Learning (MEDL); Class-aware evidential fusion (CAEF).,"LA, Pancreas-CT, ACDC (Medical Imaging).",Outperforms SOTA in semi-supervised settings; better uncertainty calibration.,"Uses 'evidential fusion' to combine outputs from two networks, directly supporting your fusion logic.",Multi-network interaction strategy aligns with your multi-agent architecture.,"Uses Belief/Uncertainty mass ($b_n, u$) explicitly in the fusion formula.",**Crucial Domain Match**: Validates EDL+Fusion specifically for Medical Imaging (Segmentation vs your Classification).,"Focuses on semi-supervised/pseudo-labeling, whereas your script is supervised.","""Fusion draws inspiration from generalized evidence theory... enhancing both robustness and adaptability.""",5,Domain specific validation.
Dynamic Uncertainty-aware Multimodal Fusion for Outdoor Health Monitoring,"Fang et al., 2025",Health monitoring in noisy outdoor environments using multimodal data.,DUAL-Health framework; Fluctuation uncertainty quantification; Transformer fusion.,"Stressors, UP-Fall Detection (Health Monitoring).",15% accuracy improvement over baselines in noisy conditions.,Uses 'adaptive modality weight assignment' based on uncertainty—exact match to your `self.gate_net`.,Considers input noise vs. fluctuation noise; aligns with your 'Agentic' view of adaptive systems.,Aligns modality distributions in a common space for fusion.,Strong justification for why dynamic weighting is superior to concatenation (`NAIVE_FUSION`).,"Uses temporal data (TimeSeries), whereas your code processes static images.","""Prioritizing modalities with greater contributions improves detection accuracy under low-quality data.""",4,Justifies dynamic weighting mechanism.
"TRiSM for Agentic AI: A Review of Trust, Risk, and Security Management","Raza et al., 2025",Review trust/risk management in LLM-based agent systems.,"TRiSM Framework: Explainability, ModelOps, Security, Privacy.",N/A (Review).,"Proposed metrics: Component Synergy Score (CSS), Tool Utilization Efficacy.",Relevant to your `loss_div` (Diversity Regularization) as a method of 'Risk Management' against agent collapse.,Defines 'Agentic AI' governance; helps frame your project as 'Trustworthy AI'.,"Discusses 'Trustworthiness', which your ECE metric specifically measures.",Provides high-level vocabulary to describe *why* your architecture is safer (Trust/Explainability).,"Focuses on LLMs/GenAI, not discriminative CNNs like your code.","""Agentic AI systems... exhibit emergent and often opaque behaviors, making them susceptible to cascading errors.""",2,Context for 'Agentic' naming.
"Agentic AI: A Comprehensive Survey of Architectures, Applications, and Future Directions","Ali & Dornaika, 2025",Survey of Agentic AI architectures (Symbolic vs Neural).,Taxonomy: Symbolic/Classical vs Neural/Generative; Dual-paradigm framework.,"Healthcare, Finance, Robotics.",Identifies gap in hybrid neuro-symbolic architectures.,Helps define your system as a 'Neural' agentic system with 'Symbolic' (DST) fusion elements.,Distinguishes between single-agent and multi-agent orchestration (your code is Multi-Agent).,N/A,Helps position your work in the broader 'Agentic AI' timeline (Neural Paradigm).,High-level survey; lacks specific implementation details for pixel-level tasks.,"""The future of Agentic AI lies... in their intentional integration to create systems that are both adaptable and reliable.""",3,Taxonomy and definition.
Multi-Agent Embodied AI: Advances and Future Directions,"Feng et al., 2025",Survey of Multi-Agent systems in embodied (physical) environments.,"CTDE (Centralized Training Decentralized Execution), Communication protocols.","Robotics, Autonomous Driving.",Highlights challenges in asynchronous decision making and heterogeneity.,Your `train_epoch` uses a centralized loss for decentralized agents (CTDE paradigm).,"Discusses 'Heterogeneous collaboration' (different agent types), matching your RGB/Edge/Freq design.",N/A,Validates the use of heterogeneous agents (diverse feature extractors) for robust perception.,"Focuses on RL/Robotics/Action spaces, whereas your code is static classification.","""Real-world embodied AI applications frequently demand effective collaboration among multiple heterogeneous agents.""",3,Justifies heterogeneous agents.
Latent Distribution Decoupling: A Probabilistic Framework for Uncertainty-Aware Multimodal Emotion Recognition,"Huang et al., 2025",Handle aleatoric uncertainty in multimodal emotion recognition.,Latent Distribution Decoupling (LDDU); Contrastive Learning; Uncertainty-aware fusion.,"CMU-MOSEI, M3ED (Emotion Recognition).",SOTA on unaligned multimodal data.,"Uses uncertainty-aware fusion gates, reinforcing your `GatedFusion` design choice.","Models aleatoric uncertainty explicitly, which your `EDLLoss` also handles (via evidence variance).",N/A,Shows that decoupling features (like your RGB vs Edge) improves uncertainty estimation.,"Uses contrastive learning, which you do not implement (you use supervised loss).","""When a sample has high aleatoric uncertainty... the fusion... should depend on the level of uncertainty.""",4,Supports uncertainty-based fusion.